id,name,category,chapter,description,detail,image
body_position,尸体位置,evidence,chapter1,严成峰的尸体倒在客房内，面部朝下，没有明显外伤。,严成峰面部朝下倒在客房地板上，身体没有明显外伤，死状蹊跷。,assets/image/clue_body.png
inhaler,哮喘吸入器,evidence,chapter1,死者身边的哮喘吸入器不见了，这可能是关键。,严成峰有重度哮喘，吸入器本应不离身，此刻却不在手边。,assets/image/clue_inhaler.png
smart_device,智能温控异常,evidence,chapter1,房间内的智能温控系统显示凌晨3点有过一次异常操作。,温控系统记录显示，凌晨3点温度曾被骤降至16度。,
frontdesk_statement,前台证词,testimony,chapter1,酒店已被峰会主办方联合包场，非参会核准人员无法办理入住。,前台称：'本酒店已被峰会主办方联合包场，按安保要求，非参会核准人员无法办理入住。',
xu_intro_panan,许晴岚谈磐安,testimony,chapter1,许晴岚介绍：严成峰专横跋扈，员工敢反驳一句当天就卷铺盖滚蛋。,许晴岚：'磐安智能的那帮高管。领头那个嘴碎的老头就是联合创始人兼执行总裁严成峰，业内出了名的专横跋扈、高压独裁。',
sister_call,姐姐的电话,testimony,chapter1,李志姐姐是峰会创办人之一，让李志顶顾问头衔白住套房度假。,李志姐姐：'我又是峰会一开始的创办人之一，公司每年必须要派代表过去，你就将就一下吧，反正也不用你做什么。',
char_lizhi,李志,personnel,prologue,落魄侦探，黄昏事务所所长。,落魄侦探，市井与理想并存。父亲是侦探小说家李明远（笔名秋白）。,
char_wenyin,陈雯音,personnel,prologue,李志的外甥女，能看到屏幕外的人。,天生能看到屏幕外的现实世界。3岁高烧后不再开口说话，仅通过行动传达线索。,
char_xuqinglan,许晴岚,personnel,chapter1,澜星科技商务代表，李志大学同学。,精明干练的'高智商辣妹'，八面玲珑但毒舌仗义。本次以澜星科技商务代表身份出席峰会。,
char_yanchengfeng,严成峰,personnel,chapter1,磐安智能执行总裁（死者）。,磐安智能联合创始人兼执行总裁。重度哮喘导致极端控制欲，克扣员工、霸占成果。,
char_zhaoheng,赵恒,personnel,chapter1,磐安智能商务副总。,标准的老好人面孔，专门负责在严成峰把人得罪光后出来擦屁股、拉投资。,
char_zhouwen,周文,personnel,chapter1,磐安智能技术骨干。,顶尖技术大牛，被严成峰清洗部门后降级贬为底层。,
char_zhangchengyu,张承宇,personnel,chapter1,重案组队长，李志大学同窗。,口嫌体正直，表面冷嘲热讽实际高度认可李志能力。,
c4_body,严成峰遗体,evidence,chapter4,经检查有明显的打斗痕迹，脖子上有轻微的抓痕。,遗体倒在客房地板上，衣物凌乱，脖子处有几道轻微抓痕，体表无开放性伤口。法医判定死因为哮喘引发的窒息。,assets/image/clue_body_struggle.png
c4_capsule,掉在地上的药瓶,evidence,chapter4,一瓶进口辅酶复合胶囊，治疗哮喘的应急药物。,一瓶进口辅酶复合胶囊，是治疗哮喘的应急药物。药瓶滚落在遗体不远处，瓶盖已经拧开。,assets/image/clue_medicine_capsule.png
c4_phone,严成峰的手机,evidence,chapter4,手机已经被敲碎，要还原里面的数据还需要一些时间。,手机屏幕碎成蛛网状，机身有明显被反复砸击的凹痕。数据损坏严重，交给技术部门修复需要时间。,assets/image/clue_broken_phone.png
c4_vent,嵌入式空调出风口,trace,chapter4,出风口有一些普通粉末，经检查似乎是普通的墙灰。,出风口格栅上积着一层薄薄的白色粉末，取样化验后确认只是普通墙灰，与案件似乎并无关联。,assets/image/clue_air_vent.png
c4_room_mess,凌乱的房间,trace,chapter4,房间内的茶几桌椅全都打翻，地毯也散落，床头柜有明显的翻找痕迹。,茶几与座椅全部翻倒，地毯被掀起一角，床头柜抽屉被拉开过，里面的物品被翻得乱七八糟，像是有人在急切地寻找什么。,
c4_empty_inhaler,空掉的气体药瓶,evidence,chapter4,似乎是没有扔掉治疗哮喘的气体药瓶，药瓶底部有轻微的划痕。,一支已经用尽的哮喘气体吸入剂，被随手丢在房间角落。药瓶底部有几道轻微划痕，像是被人反复摩擦过。,assets/image/clue_empty_inhaler.png
c4_delivery,外卖存放箱,evidence,chapter4,查询记录看到有一份同城外卖抵达的时间是18：00，存放箱上印着磐安智能的字样。,大堂的智能外卖存放箱。调取记录显示，一份印有磐安智能字样的同城送药订单，实际抵达时间被登记为18:00。,assets/image/clue_delivery_locker.png
c4_trash,垃圾桶,trace,chapter4,垃圾桶有不少擦汗用的高级湿纸巾，垃圾桶上的烟灰缸中有不少半截被掐灭的尼龙牌香烟。,大堂垃圾桶里塞满了高级湿纸巾，像是有人反复擦汗后丢弃的。桶上烟灰缸里堆着几截被掐灭的尼龙牌香烟——一个普通人很难搞到的牌子。,assets/image/clue_trash_bin.png
c4_stairwell,安全通道,trace,chapter4,可以通向所有楼层的通道，门把上残留着不易察觉的汗渍手印。,安全通道可直达所有楼层。门把手上残留着一层不易察觉的汗渍手印，说明不久前有人反复推过这扇门。,assets/image/clue_stair_door.png
c4_seat_table,磐安智能席位桌,trace,chapter4,桌上放着半盒尼龙牌香烟，座位是赵恒和严城峰两位董事的专座。,会场磐安智能的席位桌上摆着半盒尼龙牌香烟，桌牌显示这是赵恒与严城峰两位董事的专座。,assets/image/clue_cigarette.png
c4_agenda,峰会议程电子看板,trace,chapter4,记录着今日峰会各环节的时间表。,电子看板滚动播放今日峰会议程：15:00 峰会开幕主持人致辞，15:10 自由交流环节。,assets/image/clue_agenda_board.png
c4_zhouwen_desk,庭院右侧长桌,trace,chapter4,长桌上放着一台电脑和一些物料，电脑设有密码，用户名写着周文。,庭院右侧的木制长桌上摆着一台设了密码的电脑，登录用户名是周文。旁边是一年半前磐安智能的内部技术期刊，封面刊登着年度核心研发骨干团队合影，周文站在最中间，神采奕奕地笑着。,assets/image/clue_laptop_journal.png
c4_camera,隐藏摄像头,evidence,chapter4,藏在电视旁音响里的微型摄像头。,一台微型无线摄像头，被巧妙地藏在房间电视旁的音响内部。接入本地端口后可以查到设备主人。,assets/image/clue_hidden_camera.png
c4_sms,复原的短信记录,evidence,chapter4,严成峰发给赵恒的威胁短信。,从碎屏手机中复原出的短信：发信人严成峰，收信人赵恒，内容为如果不想贪污的事被其他人知道，那就来我房间。,
c4_sweat,安全通道汗渍,evidence,chapter4,25楼与1楼安全通道把手上都留有汗渍。,25楼与1楼的安全通道门把手上都提取到了汗渍痕迹，可与大堂垃圾桶里的湿纸巾做成分比对。,assets/image/clue_stair_door.png
c4_tes_monitor,监控缺失三天,testimony,chapter4,走廊监控备份缺少了3天的内容，有隐蔽的入侵痕迹。,警察A：走廊监控的备份缺少了3天的内容，有入侵痕迹，但非常隐蔽，需要很长时间才能还原数据。,
c4_tes_zhouwen_file,周文曾来取文件,testimony,chapter4,案发后周文曾来到2501，请法医代取床头柜里的重要资料。,警察A：之前有个叫周文的来过，他说有些重要的资料留在房间床头柜里希望取出，不过没有进去，我让里面的法医代拿了出来。,
c4_tes_forensic,法医证词,testimony,chapter4,除轻微打斗外无致命伤，凶手应该是个力气很小的人。,宋医生：除了一些轻微的打斗，并没有其他伤痕，且这些都不致命，对手应该是个力气很小的人。另外死者身上发现一瓶已经用完的吸入剂药盒。,
c4_tes_waiter,第一目击者证词,testimony,chapter4,服务员A受赵恒委托送药，上楼后发现严成峰已经没了呼吸。,服务员A：当时赵总让我送药给严总，我上楼后发现房间门是半开的，喊了两声没反应，进去后就发现严总躺在地上，房间还很乱，探了鼻息发现没呼吸了，于是通过对讲机呼叫了总台。,
c4_tes_guard,保安证词,testimony,chapter4,17点左右有名男子在电梯口徘徊，半小时后从安全通道出来并丢弃大量纸巾。,保安：大概17点左右，有个男人在电梯口打转，手里的香烟抽一半就掐灭又点一根。过了半小时，我看到他从安全通道里出来，手里拿着很多纸巾丢进了垃圾桶。,
c4_tes_order,外卖订单时间,testimony,chapter4,周文手机上的订单显示16点送达，外卖柜记录却显示18点。,周文掏出手机展示订单，上面确实写着16点送达；而外卖柜的系统记录却显示实际抵达时间为18点，中间整整差了两个小时。,
c4_tes_zhao_med,赵恒托送药,testimony,chapter4,赵恒称严成峰说药4点送到，迟迟未到才托服务员代送。,赵恒：严城峰当时告诉我药4点送到，当时已经迟到半小时了，所以希望我如果可以就上去看看，但药一直到6点左右才送到，正好我在跟资方谈话，就让服务员代劳了。,
c4_tes_zhao_smoke,赵恒的香烟习惯,testimony,chapter4,赵恒承认自己抽了很多年尼龙牌香烟。,赵恒：呃……是的，已经抽了很多年了。,
c4_tes_zhouwen_past,周文的过去,testimony,chapter4,一年半前周文还是磐安的核心研发骨干。,许晴岚：大概一年半前，周文那时候好像是磐安的核心技术人员。这中间不知发生了什么，模样大变，我还真没认出来。,
c4_tes_zhao_corrupt,赵恒的财务问题,testimony,chapter4,赵恒开了空壳公司与磐石合作套现。,许晴岚：磐安这几年为了吃政企算力补贴，财务账目烂得跟筛子一样。据小道消息，赵恒因此开了空壳公司和磐石合作进行套现。,
